id;start_date;end_date;language
1;2020-11-19T13:29:00;2020-11-19T11:19:15;SPANISH
2;2020-11-18T18:19:11;2020-11-19T13:23:36;SPANISH
3;2020-11-19T09:14:30;2020-11-18T19:48:39;FRENCH
4;2020-11-19T00:32:01;2020-11-19T12:03:27;FRENCH
5;2020-11-19T10:02:19;2020-11-19T14:49:18;FRENCH
6;2020-11-19T03:54:40;2020-11-19T16:02:54;FRENCH
7;2020-11-19T05:40:00;2020-11-18T23:30:51;FRENCH
8;2020-11-19T04:36:13;2020-11-19T14:52:21;SPANISH
9;2020-11-19T03:17:22;2020-11-18T23:58:45;SPANISH
10;2020-11-19T11:29:26;2020-11-18T22:03:56;SPANISH
